@JulieHillingMP.txt:XX,JulieHillingMP,Julie Hilling MP,298,24,11
@JustineGreening.txt:XX,JustineGreening,Justine Greening,604,60,26
@KarenBuckMP.txt:XX,KarenBuckMP,simon_says_that,678,63,0
@KarlTurnerMP.txt:XX,KarlTurnerMP,Karl Turner MP,280,25,6
@KateGreenSU.txt:XX,KateGreenSU,Kate Green,649,67,41
@KatyClarkMP.txt:XX,KatyClarkMP,Katy Clark,594,74,24
@KeeleyMP.txt:XX,KeeleyMP,Barbara Keeley,177,9,0
@Keith_VazMP.txt:XX,Keith_VazMP,Keith Vaz MP,741,27,0
@KerryMP.txt:XX,KerryMP,Kerry McCarthy MP,757,52,6
@KevanJonesMP.txt:XX,KevanJonesMP,Kevan Jones MP,599,41,20
@KevinBrennanMP.txt:XX,KevinBrennanMP,Kevin Brennan,346,32,17
@LauraSandysMP.txt:XX,LauraSandysMP,Laura Sandys,291,51,17
@LiamByrneMP.txt:XX,LiamByrneMP,Liam Byrne,540,36,18
@LiamFoxMP.txt:XX,LiamFoxMP,Dr Liam Fox MP,265,6,2
@LilianGreenwood.txt:XX,LilianGreenwood,Lilian Greenwood,483,47,11
@Linda_Riordan.txt:XX,Linda_Riordan,Linda Riordan MP,342,26,3
@LindsayHoyle_MP.txt:XX,LindsayHoyle_MP,Lindsay Hoyle MP,599,42,4
@LindsayRoyMP.txt:XX,LindsayRoyMP,Lindsay Roy MP,81,3,0
@LorelyBurt.txt:XX,LorelyBurt,Lorely Burt,583,40,19
@LouiseEllman.txt:XX,LouiseEllman,Louise Ellman MP,245,27,12
@LucyMPowell.txt:XX,LucyMPowell,Lucy Powell,428,21,6
@MPDavidMorris.txt:XX,MPDavidMorris,David Morris MP,645,36,19
@MPritchardMP.txt:XX,MPritchardMP,Mark Pritchard ,769,53,0
@MRitchieMP.txt:XX,MRitchieMP,Margaret Ritchie MP,565,33,1
@MadeleineMoon.txt:XX,MadeleineMoon,Madeleine Moon,555,122,24
@MalcolmRifkind.txt:XX,MalcolmRifkind,Sir Malcolm Rifkind ,68,3,3
@MarcusJonesMP.txt:XX,MarcusJonesMP,Marcus Jones MP,463,52,4
@Margaret_Curran.txt:XX,Margaret_Curran,Margaret Curran MP,487,33,16
@Maria_MillerMP.txt:XX,Maria_MillerMP,Maria_MillerMP,521,44,17
@Mark4WyreForest.txt:XX,Mark4WyreForest,Mark Garnier,533,73,19
@MarkFieldMP.txt:XX,MarkFieldMP,Mark Field MP,470,37,26
@MarkJSimmonds.txt:XX,MarkJSimmonds,Mark Simmonds MP,603,48,14
@MarkLancasterMP.txt:XX,MarkLancasterMP,Mark Lancaster MP,696,132,53
@MarkPawsey.txt:XX,MarkPawsey,Mark Pawsey,642,65,36
@MarkReckless.txt:XX,MarkReckless,Mark Reckless,537,39,19
@MarkSpencerMP.txt:XX,MarkSpencerMP,MarkSpencerMP,477,34,6
@Mark_J_Harper.txt:XX,Mark_J_Harper,Mark Harper,243,19,10
@MartinChelt.txt:XX,MartinChelt,Martin Horwood,665,45,9
@MaryMacleod4MP.txt:XX,MaryMacleod4MP,Mary Macleod,1,0,0
@MaryMacleodMP.txt:XX,MaryMacleodMP,Mary Macleod,383,34,12
@Meg_HillierMP.txt:XX,Meg_HillierMP,MegHillierMP,604,51,6
@MichaelDugherMP.txt:XX,MichaelDugherMP,Michael Dugher,379,25,7
@MichaelMcCannMP.txt:XX,MichaelMcCannMP,Michael McCann MP,430,23,8
@MichaelMooreMP.txt:XX,MichaelMooreMP,Michael Moore,639,51,10
@Michael_Ellis1.txt:XX,Michael_Ellis1,Michael Ellis,536,41,10
@Mike4Eastleigh.txt:XX,Mike4Eastleigh,Mike Thornton MP,524,43,5
@MikeGapes.txt:XX,MikeGapes,Mike Gapes MP,199,18,6
@MikeKaneMP.txt:XX,MikeKaneMP,Mike Kane,386,32,13
@Mike_Fabricant.txt:XX,Mike_Fabricant,Michael Fabricant,499,53,20
@MingCampbellMP.txt:XX,MingCampbellMP,Ming Campbell ,17,0,0
@MorayMP.txt:XX,MorayMP,Angus Robertson,517,31,20
@NadineDorriesMP.txt:XX,NadineDorriesMP,Nadine Dorries MP,633,28,9
@NiaGriffithMP.txt:XX,NiaGriffithMP,Nia Griffith,446,42,14
@NicDakinMP.txt:XX,NicDakinMP,Nic Dakin,386,68,17
@NickBolesMP.txt:XX,NickBolesMP,Nick Boles,379,35,6
@NickHarveyND.txt:XX,NickHarveyND,Nick Harvey,66,6,3
@NickSmith4BG.txt:XX,NickSmith4BG,nick smith,74,5,3
@NickyMorgan01.txt:XX,NickyMorgan01,Nicky Morgan MP,564,60,18
@NigelDoddsMP.txt:XX,NigelDoddsMP,Nigel Dodds,618,34,15
@NormanBakerMP.txt:XX,NormanBakerMP,Norman Baker MP,238,15,4
@OwenSmithMP.txt:XX,OwenSmithMP,Owen Smith MP,541,57,10
@Owen_PatersonMP.txt:XX,Owen_PatersonMP,Owen Paterson MP,74,6,5
@PBottomleyMP.txt:XX,PBottomleyMP,Sir Peter Bottomley ,0,0,0
@PatGlassMP.txt:XX,PatGlassMP,Pat Glass,474,71,5
@PaulBlomfieldMP.txt:XX,PaulBlomfieldMP,Paul Blomfield,705,50,28
@PaulBurstow.txt:XX,PaulBurstow,Paul Burstow MP,411,19,7
@PaulFlynnMP.txt:XX,PaulFlynnMP,Paul Flynn ,678,92,17
@PaulMaskeyMP.txt:XX,PaulMaskeyMP,Paul Maskey ,323,11,3
@PaulMaynardMP.txt:XX,PaulMaynardMP,Paul Maynard MP,512,30,10
@Pauline_Latham.txt:XX,Pauline_Latham,Pauline Latham MP,652,72,18
@PennyMordauntMP.txt:XX,PennyMordauntMP,Penny Mordaunt MP,566,27,8
@PeteWishart.txt:XX,PeteWishart,Pete Wishart,728,68,8
@PeteforPerth.txt:XX,PeteforPerth,Pete Wishart MP,2,0,0
@PeterBoneMP.txt:XX,PeterBoneMP,Peter Bone MP,278,34,3
@PeterHain.txt:XX,PeterHain,Peter Hain,626,52,9
@PeterJLuff.txt:XX,PeterJLuff,Sir Peter Luff MP,608,48,9
@PhilWilsonMP.txt:XX,PhilWilsonMP,Phil Wilson MP,484,58,31
@PhilipDavies422.txt:XX,PhilipDavies422,Philip Davies,109,9,0
@PhilipDaviesMP.txt:XX,PhilipDaviesMP,Philip Davies,320,16,0
@PhilipDunneMP.txt:XX,PhilipDunneMP,Philip Dunne,134,24,4
@RachelReevesMP.txt:XX,RachelReevesMP,Rachel Reeves,433,42,14
@RebeccaHarrisMP.txt:XX,RebeccaHarrisMP,Rebecca Harris,21,1,0
@Richard4Watford.txt:XX,Richard4Watford,Richard Harrington,779,77,10
@RichardBenyonMP.txt:XX,RichardBenyonMP,Richard Benyon,790,87,12
@RichardBurdenMP.txt:XX,RichardBurdenMP,Richard Burden MP,570,65,43
@RichardDraxMP.txt:XX,RichardDraxMP,Richard Drax,5,0,0
@RichardGrahamMP.txt:XX,RichardGrahamMP,Richard Graham,754,115,44
@RobFlelloMP.txt:XX,RobFlelloMP,Rob Flello MP,331,25,3
@RobWilson_RDG.txt:XX,RobWilson_RDG,Rob Wilson,664,56,32
@RobertBuckland.txt:XX,RobertBuckland,Robert Buckland MP,288,16,6
@RobertJenrick.txt:XX,RobertJenrick,Robert Jenrick MP,540,57,27
@RobinWalkerMP.txt:XX,RobinWalkerMP,Robin Walker,339,36,8
@RogerGodsiff.txt:XX,RogerGodsiff,Roger Godsiff MP,449,40,11
@RogerWilliamsLD.txt:XX,RogerWilliamsLD,Roger Williams MP,341,29,5
@RoryStewartUK.txt:XX,RoryStewartUK,Rory Stewart,798,201,170
@SCrabbMP.txt:XX,SCrabbMP,Stephen Crabb MP,452,46,18
@SDoughtyMP.txt:XX,SDoughtyMP,Stephen Doughty,496,56,22
@SHammondMP.txt:XX,SHammondMP,Stephen Hammond MP,239,17,0
@SJacksonMP.txt:XX,SJacksonMP,Stewart Jackson MP,536,55,15
@SMcPartlandMP.txt:XX,SMcPartlandMP,Stephen McPartland,636,47,41
@SadiqKhan.txt:XX,SadiqKhan,Sadiq Khan MP,516,30,22
@SamGyimah.txt:XX,SamGyimah,Sam Gyimah MP,481,64,17
@SarahChampionMP.txt:XX,SarahChampionMP,Sarah Champion MP,493,31,3
@SarahNewtonMP.txt:XX,SarahNewtonMP,Sarah Newton,420,36,12
@SeemaMalhotra1.txt:XX,SeemaMalhotra1,Seema Malhotra,428,55,26
@ShabanaMahmood.txt:XX,ShabanaMahmood,Shabana Mahmood MP,504,28,15
@SharonHodgsonMP.txt:XX,SharonHodgsonMP,Sharon Hodgson MP,309,28,10
@SheilaGilmoreMP.txt:XX,SheilaGilmoreMP,Sheila Gilmore,688,75,56
@SimonDanczuk.txt:XX,SimonDanczuk,Simon Danczuk,444,12,5
@SimonHughesMP.txt:XX,SimonHughesMP,Simon Hughes,271,108,35
@SimonKirbyMP.txt:XX,SimonKirbyMP,Simon Kirby MP,406,21,5
@SimonWrightMP.txt:XX,SimonWrightMP,Simon Wright MP,558,55,11
@Simonhartmp.txt:XX,Simonhartmp,Simon Hart,355,36,13
@SiobhainMP.txt:XX,SiobhainMP,Siobhain McDonagh MP,645,276,35
@StephenTwigg.txt:XX,StephenTwigg,Stephen Twigg,592,54,8
@SteveBakerMP.txt:XX,SteveBakerMP,Steve Baker MP,371,28,16
@SteveBarclayMP.txt:XX,SteveBarclayMP,Steve Barclay,775,90,47
@SteveReedMP.txt:XX,SteveReedMP,Steve Reed MP,697,64,18
@SteveRotheramMP.txt:XX,SteveRotheramMP,Steve Rotheram,647,63,23
@StewartHosieMP.txt:XX,StewartHosieMP,Stewart Hosie,270,29,9
